run_id,acf_returns_1,acf_abs_returns_1,acf_squared_returns_1,return_kurtosis,return_skewness,return_p01,return_p05,return_p95,return_p99,extreme_negative_1pct,extreme_negative_5pct,liquidation_concentration_top10,corr_liq_negative_return,corr_margin_negative_return
27,-3.660632818854559e-05,-0.013648286272410711,-0.020134979079242884,-0.41429881520532463,0.12265410531649336,-0.05915213661182678,-0.0462446980571572,0.053010937678956656,0.06703311395817382,0.01,0.05,1.0,0.14932690307572108,0.1422222779506649
28,0.023807377990886468,-0.05819395458995244,-0.028516812359599727,0.03873088394284352,0.187463279245498,-0.06551083505687527,-0.0507744601336624,0.05601946884739438,0.07036218268883945,0.01,0.05,1.0,0.31932471434972465,0.24788131554143392
29,0.04066351594450946,-0.0203897482967014,-0.012262142446184905,-0.30307028094347777,0.12176911760354707,-0.06564672477396075,-0.046195969208854576,0.05489058453663799,0.0749378534788624,0.01,0.05,0.0,,
30,-0.008797442774472213,0.0067702771343076925,0.004680038537637087,-0.2066018152526099,0.11251283298700573,-0.07007168838656626,-0.0453662821224752,0.0533644992720485,0.0739562767586432,0.01,0.05,1.0,0.1212187286346275,0.1178393872885397
31,-0.021468718965517563,0.05237461530962873,0.029050979609555973,-0.23342764095667334,0.17526217727113094,-0.06450873744147115,-0.0456028936925245,0.05254593162830167,0.07237551344008608,0.01,0.05,1.0,0.09652943783061191,0.0923945694149356
32,-0.03601420559990692,-0.03174724669976318,-0.007656176672374539,-0.3390843578154197,0.04151791378324695,-0.06414488428021249,-0.04691238710333202,0.05101891047789164,0.0712303842908501,0.01,0.05,0.0,,
33,0.020045990473682242,-0.013597680102616671,-0.023228222917404635,-0.28150318698026355,0.04728364462926954,-0.07256187695086269,-0.04788004449862259,0.05078730837058247,0.0686492510762307,0.01,0.05,1.0000000000000002,0.16545929672521967,0.1618163030190412
34,0.002792198867981253,0.03856789411174062,0.10651638450972452,-0.22659565168527207,-0.034248639507720065,-0.07104446255195485,-0.05044681530068,0.047077854451836924,0.06381464823429753,0.01,0.05,0.992943269759996,0.35574069103858347,0.34820498217634566
35,-0.056058634478229674,-0.018279196251263164,-0.012189060752680825,-0.3170521236298205,0.11394717937464778,-0.06362675018540814,-0.046092843349868066,0.05103900950069932,0.071917871108005,0.01,0.05,0.9999999999999998,0.19295832054458667,0.1877412376061497
36,0.02013876167821822,-0.07204398088472296,-0.07692191651740463,-0.48400918326810194,0.15148602058465468,-0.06840600968844418,-0.047681682718990856,0.05112520346380194,0.06914503350966564,0.01,0.05,1.0,0.28128884634988666,0.23770001092182416
37,0.00449441708494471,-0.02181004768385237,-0.0189073752265769,-0.24932247188468049,-0.016611745053569275,-0.0739216042819187,-0.055008571844412664,0.05277731163126142,0.07380916917912762,0.01,0.05,1.0,0.31856731313809905,0.26159364036932164
38,-0.01928173038681059,0.06116715484979085,0.06025631697296229,-0.32809054684966465,-0.05156721155405401,-0.07622884172992611,-0.05803056661399851,0.04625696894614117,0.06595920387112568,0.01,0.05,0.8798164424940201,0.42488290488593927,0.4511716448020351
39,-0.001953505196898269,0.013856634684498667,0.02453453390064128,0.008021790318632593,-0.031175605553244782,-0.06982476180103774,-0.051718795629240276,0.050313056973426314,0.07348903278667251,0.01,0.05,1.0,0.3154810600076934,0.29347679483772404
40,-0.0078080361694504346,0.08855378908478995,0.08868043437532644,-0.26024206355568547,-0.06297816215841874,-0.07490915733539005,-0.0534768828318233,0.051463140066022026,0.07355184237869164,0.01,0.05,0.9999999999999999,0.32765209103836335,0.28714956342922315
41,0.02125463604091006,-0.10563428415636127,-0.102332815580468,-0.2516980010615062,0.11492499974385463,-0.06821472021844323,-0.0516743871641279,0.052415429823116595,0.07103706832186162,0.01,0.05,0.9613703990842553,0.36730932634825186,0.36744494711691417
42,0.09378838643028849,0.008326703405632548,0.013326020487056117,-0.3845306918583975,-0.11238540088242505,-0.06808491907782778,-0.05316581533288224,0.051239362066985296,0.06687595083896407,0.01,0.05,0.9999999999999999,0.22186458829334374,0.20416390035906176
43,0.011699371121106611,-0.0668084105906477,-0.07622584057871302,-0.3643483945282724,-9.600375796684162e-05,-0.058391389457429374,-0.045745178193357106,0.05029094133173852,0.06570892217923245,0.01,0.05,1.0000000000000002,0.09108921495791336,0.09852752019535199
44,-0.026398034245876188,-0.016424993032573162,-0.028043685006910107,-0.4355856145357544,-0.05674601942744075,-0.07259834470315359,-0.05491365562911329,0.049678190504602426,0.06453534861306594,0.01,0.05,0.9873298565362603,0.3809089258512697,0.3536879872170032
45,-0.04150589586021263,-0.013708115982278784,-0.014788625320630949,0.0021421688059901633,0.1176252107365827,-0.07133536596623502,-0.05119816443498097,0.05316203650552824,0.0777285433581237,0.01,0.05,1.0,0.1673464977255711,0.1608776740767511
46,-0.03734551995234942,0.007649011323954818,0.024527641077523792,-0.2626159780276236,0.09721543231564655,-0.0641290374148955,-0.04438133640263851,0.054109709446428234,0.06859162619591926,0.01,0.05,0.0,,
47,0.009868230667291221,-0.06371153635706858,-0.06224616081565276,-0.18694918238220115,0.15902288688409127,-0.0637125733751043,-0.045578938780064734,0.05312041770876421,0.06766910106185428,0.01,0.05,1.0,0.21640860985204496,0.18654686679941568
48,-0.042588768705038756,-0.0222173632945676,0.0023988614530791974,-0.3404783678161061,0.06942265983859995,-0.0641304158249542,-0.0499586289124189,0.050677613710378655,0.06215492551758339,0.01,0.05,1.0,0.1966888338967803,0.18764827739318948
